
2025/03/03 (13:35:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (13:35:59) | ===> btop++ v.1.4.0
2025/03/03 (13:35:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (14:48:04) | ===> btop++ v.1.4.0
2025/03/03 (14:48:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (19:11:01) | ===> btop++ v.1.4.0
2025/03/03 (19:11:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/03 (19:11:15) | ERROR: Stall in Runner thread, restarting!

2025/03/04 (16:11:55) | ===> btop++ v.1.4.0
2025/03/04 (16:11:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:17:48) | ===> btop++ v.1.4.0
2025/03/04 (19:17:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (20:31:52) | ===> btop++ v.1.4.0
2025/03/04 (20:31:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (22:53:40) | ===> btop++ v.1.4.0
2025/03/04 (22:53:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (22:54:13) | ===> btop++ v.1.4.0
2025/03/04 (22:54:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (22:57:38) | ===> btop++ v.1.4.0
2025/03/04 (22:57:38) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/04 (22:57:50) | WARNING: Failed to join _runner thread on exit!

2025/03/05 (12:15:53) | ===> btop++ v.1.4.0
2025/03/05 (12:15:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (12:21:23) | ===> btop++ v.1.4.0
2025/03/05 (12:21:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (12:37:11) | ===> btop++ v.1.4.0
2025/03/05 (12:37:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (12:50:52) | ===> btop++ v.1.4.0
2025/03/05 (12:50:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (12:51:38) | ===> btop++ v.1.4.0
2025/03/05 (12:51:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (13:48:24) | ===> btop++ v.1.4.0
2025/03/05 (13:48:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (21:09:11) | ===> btop++ v.1.4.0
2025/03/05 (21:09:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (21:10:10) | ===> btop++ v.1.4.0
2025/03/05 (21:10:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (23:51:04) | ===> btop++ v.1.4.0
2025/03/05 (23:51:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (00:00:16) | ===> btop++ v.1.4.0
2025/03/06 (00:00:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (12:40:08) | ===> btop++ v.1.4.0
2025/03/06 (12:40:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (15:27:18) | ===> btop++ v.1.4.0
2025/03/06 (15:27:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (16:32:12) | ===> btop++ v.1.4.0
2025/03/06 (16:32:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (17:02:10) | ===> btop++ v.1.4.0
2025/03/06 (17:02:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/06 (17:02:32) | WARNING: Failed to join _runner thread on exit!

2025/03/06 (22:57:05) | ===> btop++ v.1.4.0
2025/03/06 (22:57:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (13:04:46) | ===> btop++ v.1.4.0
2025/03/07 (13:04:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (16:06:48) | ===> btop++ v.1.4.0
2025/03/07 (16:06:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (16:07:36) | ===> btop++ v.1.4.0
2025/03/07 (16:07:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (16:52:45) | ===> btop++ v.1.4.0
2025/03/07 (16:52:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (18:03:22) | ===> btop++ v.1.4.0
2025/03/07 (18:03:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (18:21:28) | ===> btop++ v.1.4.0
2025/03/07 (18:21:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (22:15:40) | ===> btop++ v.1.4.0
2025/03/07 (22:15:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (22:22:50) | ===> btop++ v.1.4.0
2025/03/07 (22:22:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (12:05:34) | ===> btop++ v.1.4.0
2025/03/08 (12:05:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (12:43:29) | ===> btop++ v.1.4.0
2025/03/08 (12:43:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (16:54:31) | ===> btop++ v.1.4.0
2025/03/08 (16:54:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (21:37:00) | ===> btop++ v.1.4.0
2025/03/08 (21:37:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (21:37:12) | ===> btop++ v.1.4.0
2025/03/08 (21:37:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (21:49:50) | ===> btop++ v.1.4.0
2025/03/08 (21:49:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (13:14:29) | ===> btop++ v.1.4.0
2025/03/09 (13:14:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (18:29:10) | ===> btop++ v.1.4.0
2025/03/09 (18:29:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (20:28:07) | ===> btop++ v.1.4.0
2025/03/09 (20:28:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (20:08:31) | ===> btop++ v.1.4.0
2025/03/10 (20:08:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (20:35:15) | ===> btop++ v.1.4.0
2025/03/10 (20:35:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (20:01:39) | ===> btop++ v.1.4.0
2025/03/11 (20:01:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (16:11:30) | ===> btop++ v.1.4.0
2025/03/14 (16:11:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (16:12:03) | ===> btop++ v.1.4.0
2025/03/14 (16:12:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (16:13:39) | ===> btop++ v.1.4.0
2025/03/14 (16:13:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (18:55:35) | ===> btop++ v.1.4.0
2025/03/14 (18:55:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (22:31:43) | ===> btop++ v.1.4.0
2025/03/14 (22:31:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (14:57:47) | ===> btop++ v.1.4.0
2025/03/15 (14:57:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (14:58:14) | ===> btop++ v.1.4.0
2025/03/15 (14:58:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (14:59:52) | ===> btop++ v.1.4.0
2025/03/15 (14:59:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (15:02:10) | ===> btop++ v.1.4.0
2025/03/15 (15:02:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (16:55:38) | ===> btop++ v.1.4.0
2025/03/15 (16:55:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (13:08:30) | ===> btop++ v.1.4.0
2025/03/16 (13:08:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (15:57:09) | ===> btop++ v.1.4.0
2025/03/17 (15:57:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (16:06:09) | ===> btop++ v.1.4.0
2025/03/17 (16:06:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (16:51:16) | ===> btop++ v.1.4.0
2025/03/17 (16:51:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (21:05:40) | ===> btop++ v.1.4.0
2025/03/17 (21:05:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (21:31:02) | ===> btop++ v.1.4.0
2025/03/17 (21:31:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (21:34:41) | ===> btop++ v.1.4.0
2025/03/17 (21:34:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (21:44:26) | ===> btop++ v.1.4.0
2025/03/17 (21:44:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (21:47:28) | ===> btop++ v.1.4.0
2025/03/17 (21:47:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (21:49:22) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/03/17 (21:49:25) | ===> btop++ v.1.4.0
2025/03/17 (21:49:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (22:05:17) | ===> btop++ v.1.4.0
2025/03/17 (22:05:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (22:32:28) | ===> btop++ v.1.4.0
2025/03/17 (22:32:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (22:32:51) | ===> btop++ v.1.4.0
2025/03/17 (22:32:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (22:36:18) | ===> btop++ v.1.4.0
2025/03/17 (22:36:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (22:56:08) | ===> btop++ v.1.4.0
2025/03/17 (22:56:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (17:39:17) | ===> btop++ v.1.4.0
2025/03/18 (17:39:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (20:24:27) | ===> btop++ v.1.4.0
2025/03/18 (20:24:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (20:41:15) | ===> btop++ v.1.4.0
2025/03/18 (20:41:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (21:05:03) | ===> btop++ v.1.4.0
2025/03/18 (21:05:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (21:05:24) | ===> btop++ v.1.4.0
2025/03/18 (21:05:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (21:09:53) | ===> btop++ v.1.4.0
2025/03/18 (21:09:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (22:07:15) | ===> btop++ v.1.4.0
2025/03/18 (22:07:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (15:33:21) | ===> btop++ v.1.4.0
2025/03/19 (15:33:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (16:01:32) | ===> btop++ v.1.4.0
2025/03/19 (16:01:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (17:30:27) | ===> btop++ v.1.4.0
2025/03/19 (17:30:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (17:33:50) | ===> btop++ v.1.4.0
2025/03/19 (17:33:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (17:53:18) | ===> btop++ v.1.4.0
2025/03/19 (17:53:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (19:39:37) | ===> btop++ v.1.4.0
2025/03/19 (19:39:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (19:48:29) | ===> btop++ v.1.4.0
2025/03/19 (19:48:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (21:35:36) | ===> btop++ v.1.4.0
2025/03/19 (21:35:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (21:44:35) | ===> btop++ v.1.4.0
2025/03/19 (21:44:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (21:47:55) | ===> btop++ v.1.4.0
2025/03/19 (21:47:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (21:49:26) | ===> btop++ v.1.4.0
2025/03/19 (21:49:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (21:49:56) | ===> btop++ v.1.4.0
2025/03/19 (21:49:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (22:05:53) | ===> btop++ v.1.4.0
2025/03/19 (22:05:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (22:19:43) | ===> btop++ v.1.4.0
2025/03/19 (22:19:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (19:39:29) | ===> btop++ v.1.4.0
2025/03/20 (19:39:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (20:16:47) | ===> btop++ v.1.4.0
2025/03/20 (20:16:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (17:56:13) | ===> btop++ v.1.4.0
2025/03/21 (17:56:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (18:10:40) | ===> btop++ v.1.4.0
2025/03/21 (18:10:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (18:56:49) | ===> btop++ v.1.4.0
2025/03/21 (18:56:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (19:45:37) | ===> btop++ v.1.4.0
2025/03/21 (19:45:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (22:42:18) | ===> btop++ v.1.4.0
2025/03/21 (22:42:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (22:43:14) | ===> btop++ v.1.4.0
2025/03/21 (22:43:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (11:22:12) | ===> btop++ v.1.4.0
2025/03/22 (11:22:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (12:52:34) | ===> btop++ v.1.4.0
2025/03/22 (12:52:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (18:04:18) | ===> btop++ v.1.4.0
2025/03/22 (18:04:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (18:04:30) | ===> btop++ v.1.4.0
2025/03/22 (18:04:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (19:02:49) | ===> btop++ v.1.4.0
2025/03/22 (19:02:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (19:03:56) | ===> btop++ v.1.4.0
2025/03/22 (19:03:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (19:04:32) | ===> btop++ v.1.4.0
2025/03/22 (19:04:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (19:55:47) | ===> btop++ v.1.4.0
2025/03/22 (19:55:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (13:52:09) | ===> btop++ v.1.4.0
2025/03/23 (13:52:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (14:24:33) | ===> btop++ v.1.4.0
2025/03/23 (14:24:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (14:27:17) | ===> btop++ v.1.4.0
2025/03/23 (14:27:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (14:36:09) | ===> btop++ v.1.4.0
2025/03/23 (14:36:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (15:13:45) | ===> btop++ v.1.4.0
2025/03/23 (15:13:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (15:14:30) | ===> btop++ v.1.4.0
2025/03/23 (15:14:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (15:16:01) | ===> btop++ v.1.4.0
2025/03/23 (15:16:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (18:53:49) | ===> btop++ v.1.4.0
2025/03/23 (18:53:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (20:57:34) | ===> btop++ v.1.4.0
2025/03/25 (20:57:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (16:02:26) | ===> btop++ v.1.4.0
2025/03/27 (16:02:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (15:48:13) | ===> btop++ v.1.4.0
2025/03/28 (15:48:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (15:49:28) | ===> btop++ v.1.4.0
2025/03/28 (15:49:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (21:22:01) | ===> btop++ v.1.4.0
2025/03/28 (21:22:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (10:16:37) | ===> btop++ v.1.4.0
2025/03/29 (10:16:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (10:58:58) | ===> btop++ v.1.4.0
2025/03/29 (10:58:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (15:06:17) | ===> btop++ v.1.4.0
2025/03/29 (15:06:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (16:31:37) | ===> btop++ v.1.4.0
2025/03/30 (16:31:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (16:31:57) | ===> btop++ v.1.4.0
2025/03/30 (16:31:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (22:24:07) | ===> btop++ v.1.4.0
2025/03/31 (22:24:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (20:13:36) | ===> btop++ v.1.4.0
2025/04/01 (20:13:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (21:53:17) | ===> btop++ v.1.4.0
2025/04/01 (21:53:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (21:53:32) | ===> btop++ v.1.4.0
2025/04/01 (21:53:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (22:25:05) | ===> btop++ v.1.4.0
2025/04/01 (22:25:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (23:36:34) | ===> btop++ v.1.4.0
2025/04/01 (23:36:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (00:19:16) | ===> btop++ v.1.4.0
2025/04/02 (00:19:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (00:21:45) | ===> btop++ v.1.4.0
2025/04/02 (00:21:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (00:22:15) | ===> btop++ v.1.4.0
2025/04/02 (00:22:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (07:14:42) | ===> btop++ v.1.4.0
2025/04/02 (07:14:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (07:14:53) | ===> btop++ v.1.4.0
2025/04/02 (07:14:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (08:00:56) | ===> btop++ v.1.4.0
2025/04/02 (08:00:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/02 (08:01:01) | WARNING: Failed to join _runner thread on exit!

2025/04/02 (17:51:26) | ===> btop++ v.1.4.0
2025/04/02 (17:51:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (18:24:15) | ===> btop++ v.1.4.0
2025/04/02 (18:24:15) | WARNING: Intel GPU: Failed to initialize PMU

